Date,Open,High,Low,Close,Adj Close,Volume,,,,,,,,,,,,,,,
8/27/2020,23.1,25,21.200001,21.219999,21.219999,82219700,,,,,,,,,,,,,,,
8/28/2020,23.98,24.4,22.02,22.790001,22.790001,44847300,,,,,,,,,,,,,,,
8/31/2020,22.690001,22.790001,20.33,20.5,20.5,20816000,,,,,,,,,,,,,,,
9/1/2020,20.98,21.790001,20.1,21.610001,21.610001,15291400,,,,,,,,,,,,,,,
9/2/2020,21.99,22,20.379999,21.09,21.09,9090100,,,,,,,,,,,,,,,
9/3/2020,20.93,21.049999,20,20.030001,20.030001,7897100,,,,,,,,,,,,,,,
9/4/2020,19.98,20.18,18.01,19.030001,19.030001,10957400,,,,,,,,,,,,,,,
9/8/2020,17.91,18.559999,17.370001,17.73,17.73,8724000,,,,,,,,,,,,,,,
9/9/2020,18.575001,18.65,17.91,18.07,18.07,5889000,,,,,,,,,,,,,,,
9/10/2020,18.313999,19.504999,18.309999,19.280001,19.280001,15465200,,,,,,,,,,,,,,,
9/11/2020,19.49,19.549999,18.360001,19.1,19.1,4259700,,,,,,,,,,,,,,,
9/14/2020,19.139999,20.559999,18.379999,20.48,20.48,6296600,,,,,,,,,,,,,,,
9/15/2020,20.59,21.139999,20.26,21.120001,21.120001,4332400,,,,,,,,,,,,,,,
9/16/2020,20.66,20.780001,19.620001,19.92,19.92,4053700,,,,,,,,,,,,,,,
9/17/2020,19.01,19.67,19.01,19.24,19.24,2888000,,,,,,,,,,,,,,,
9/18/2020,19.440001,19.48,18.860001,18.9,18.9,2789400,,,,,,,,,,,,,,,
9/21/2020,18.27,18.379999,17.424999,18.15,18.15,5191200,,,,,,,,,,,,,,,
9/22/2020,18.5,19.58,18.17,19.309999,19.309999,4131300,,,,,,,,,,,,,,,
9/23/2020,19.42,19.42,18.1,18.41,18.41,3273900,,,,,,,,,,,,,,,
9/24/2020,18,18.17,17.110001,17.450001,17.450001,3995300,,,,,,,,,,,,,,,
9/25/2020,17.809999,18,17.120001,17.93,17.93,5330800,,,,,,,,,,,,,,,
9/28/2020,19.02,19.450001,18.5,19.059999,19.059999,5507500,,,,,,,,,,,,,,,
9/29/2020,19.059999,19.200001,18.530001,18.780001,18.780001,5833800,,,,,,,,,,,,,,,
9/30/2020,19.940001,20.09,19.16,20.07,20.07,10406000,,,,,,,,,,,,,,,
10/1/2020,20.15,20.23,18.51,18.67,18.67,10024400,,,,,,,,,,,,,,,
